Pfam		Integer
PF03798		455
PF03807		456
PF03810		457
PF03828		458
PF03847		459
PF03868		460
PF03876		461
PF03914		462
PF03936		463
PF03939		464
PF03941		465
PF03953		466
PF03959		467
PF03962		468
PF03987		469
PF04003		470
PF04030		471
PF04042		472
PF04043		473
PF04048		474
PF04059		475
PF04065		476
PF04073		477
PF04083		478
PF04100		479
PF04101		480
PF04153		481
PF04182		482
PF04187		483
PF04194		484
PF04212		485
PF04253		486
PF04266		487
PF04280		488
PF04321		489
PF04366		490
PF04389		491
PF04406		492
PF04413		493
PF04419		494
PF04424		495
PF04428		496
PF04438		497
PF04446		498
PF04455		499
PF04536		500
PF04548		501
PF04572		502
PF04601		503
PF04641		504
PF04652		505
PF04669		506
PF04675		507
PF04678		508
PF04695		509
PF04696		510
PF04719		511
PF04755		512
PF04757		513
PF04774		514
PF04782		515
PF04784		516
PF04802		517
PF04821		518
PF04824		519
PF04825		520
PF04828		521
PF04851		522
PF04864		523
PF04869		524
PF04893		525
PF04909		526
PF04927		527
PF04928		528
PF04935		529
PF04970		530
PF04981		531
PF04987		532
PF04997		533
PF05004		534
PF05008		535
PF05022		536
PF05047		537
PF05057		538
PF05066		539
PF05116		540
PF05131		541
PF05140		542
PF05175		543
PF05179		544
PF05182		545
PF05191		546
PF05193		547
PF05199		548
PF05236		549
PF05239		550
PF05303		551
PF05362		552
PF05368		553
PF05419		554
PF05486		555
PF05529		556
PF05603		557
PF05617		558
PF05627		559
PF05641		560
PF05670		561
PF05678		562
PF05686		563
PF05687		564
PF05699		565
PF05703		566
PF05770		567
PF05843		568
PF05899		569
PF05916		570
PF05920		571
PF06003		572
PF06047		573
PF06094		574
PF06110		575
PF06148		576
PF06155		577
PF06221		578
PF06391		579
PF06414		580
PF06418		581
PF06424		582
PF06454		583
PF06472		584
PF06544		585
PF06574		586
PF06747		587
PF06803		588
PF06813		589
PF06839		590
PF06886		591
PF06911		592
PF06916		593
PF06925		594
PF06943		595
PF06974		596
PF06991		597
PF07000		598
PF07002		599
PF07035		600
PF07059		601
PF07064		602
PF07106		603
PF07137		604
PF07145		605
PF07228		606
PF07298		607
PF07303		608
PF07460		609
PF07522		610
PF07524		611
PF07534		612
PF07557		613
PF07647		614
PF07651		615
PF07707		616
PF07714		617
PF07716		618
PF07717		619
PF07724		620
PF07727		621
PF07728		622
PF07731		623
PF07732		624
PF07734		625
PF07741		626
PF07743		627
PF07744		628
PF07748		629
PF07766		630
PF07774		631
PF07786		632
PF07802		633
PF07808		634
PF07814		635
PF07839		636
PF07842		637
PF07859		638
PF07883		639
PF07884		640
PF07885		641
PF07889		642
PF07915		643
PF07928		644
PF07959		645
PF07962		646
PF07969		647
PF07970		648
PF07977		649
PF07985		650
PF07992		651
PF07993		652
PF08030		653
PF08031		654
PF08100		655
PF08159		656
PF08161		657
PF08167		658
PF08172		659
PF08212		660
PF08240		661
PF08241		662
PF08264		663
PF08268		664
PF08314		665
PF08323		666
PF08338		667
PF08378		668
PF08387		669
PF08389		670
PF08392		671
PF08423		672
PF08450		673
PF08491		674
PF08492		675
PF08501		676
PF08510		677
PF08511		678
PF08541		679
PF08542		680
PF08547		681
PF08573		682
PF08574		683
PF08585		684
PF08596		685
PF08609		686
PF08627		687
PF08628		688
PF08646		689
PF08648		690
PF08652		691
PF08662		692
PF08670		693
PF08698		694
PF08718		695
PF08719		696
PF08729		697
PF08766		698
PF08767		699
PF08768		700
PF08784		701
PF08790		702
PF08801		703
PF08806		704
PF08920		705
PF08969		706
PF09118		707
PF09133		708
PF09177		709
PF09258		710
PF09273		711
PF09325		712
PF09329		713
PF09346		714
PF09348		715
PF09349		716
PF09350		717
PF09368		718
PF09370		719
PF09402		720
PF09405		721
PF09412		722
PF09430		723
PF09468		724
PF09588		725
PF09734		726
PF09745		727
PF09759		728
PF09763		729
PF09764		730
PF09811		731
PF09816		732
PF09835		733
PF10033		734
PF10075		735
PF10159		736
PF10172		737
PF10187		738
PF10193		739
PF10213		740
PF10241		741
PF10252		742
PF10260		743
PF10276		744
PF10313		745
PF10350		746
PF10377		747
PF10382		748
PF10406		749
PF10419		750
PF10440		751
PF10441		752
PF10447		753
PF10453		754
PF10469		755
PF10496		756
PF10497		757
PF10502		758
PF10520		759
PF10536		760
PF10545		761
PF10551		762
PF10615		763
PF10650		764
PF10672		765
PF10699		766
PF11331		767
PF11566		768
PF11698		769
PF11708		770
PF11717		771
PF11721		772
PF11789		773
PF11817		774
PF11835		775
PF11838		776
PF11919		777
PF11926		778
PF11935		779
PF11938		780
PF11955		781
PF11976		782
PF12014		783
PF12031		784
PF12047		785
PF12076		786
PF12110		787
PF12157		788
PF12166		789
PF12169		790
PF12171		791
PF12204		792
PF12214		793
PF12215		794
PF12295		795
PF12325		796
PF12333		797
PF12348		798
PF12612		799
PF12624		800
PF12656		801
PF12657		802
PF12678		803
PF12680		804
PF12697		805
PF12706		806
PF12708		807
PF12717		808
PF12719		809
PF12755		810
PF12756		811
PF12766		812
PF12776		813
PF12796		814
PF12819		815
PF12862		816
PF12871		817
PF12894		818
PF12896		819
PF12907		820
PF12923		821
PF12928		822
PF12931		823
PF12936		824
PF12937		825
PF12999		826
PF13019		827
PF13020		828
PF13023		829
PF13086		830
PF13088		831
PF13091		832
PF13178		833
PF13180		834
PF13193		835
PF13202		836
PF13225		837
PF13243		838
PF13249		839
PF13259		840
PF13266		841
PF13302		842
PF13320		843
PF13328		844
PF13355		845
PF13369		846
PF13378		847
PF13386		848
PF13393		849
PF13401		850
PF13409		851
PF13417		852
PF13422		853
PF13426		854
PF13439		855
PF13441		856
PF13442		857
PF13456		858
PF13460		859
PF13462		860
PF13472		861
PF13474		862
PF13499		863
PF13519		864
PF13532		865
PF13570		866
PF13579		867
PF13625		868
PF13632		869
PF13639		870
PF13640		871
PF13649		872
PF13656		873
PF13664		874
PF13676		875
PF13679		876
PF13691		877
PF13716		878
PF13720		879
PF13802		880
PF13840		881
PF13844		882
PF13847		883
PF13867		884
PF13878		885
PF13881		886
PF13891		887
PF13902		888
PF13905		889
PF13906		890
PF13919		891
PF13925		892
PF13932		893
PF13943		894
PF13947		895
PF13961		896
PF13962		897
PF13966		898
PF13968		899
PF13976		900
PF14111		901
PF14159		902
PF14204		903
PF14215		904
PF14222		905
PF14226		906
PF14237		907
PF14244		908
PF14279		909
PF14303		910
PF14309		911
PF14360		912
PF14363		913
PF14364		914
PF14368		915
PF14372		916
PF14374		917
PF14379		918
PF14380		919
PF14383		920
PF14416		921
PF14432		922
PF14498		923
PF14543		924
PF14547		925
PF14560		926
PF14629		927
PF14634		928
PF14655		929
PF14661		930
PF14693		931
PF14703		932
PF14780		933
PF14833		934
PF14870		935
PF15477		936
PF15511		937
PF15612		938
PF15628		939
PF15862		940
PF15963		941
PF15982		942
PF15985		943
PF16035		944
PF16095		945
PF16158		946
PF16205		947
PF16212		948
PF16278		949
PF16282		950
PF16363		951
PF16421		952
PF16455		953
PF16486		954
PF16528		955
PF16561		956
PF16575		957
PF16656		958
PF16679		959
PF16740		960
PF16845		961
PF16860		962
PF16863		963
PF16884		964
PF16900		965
PF16916		966
PF16953		967
PF16987		968
PF17032		969
PF17035		970
PF17135		971
PF17137		972
PF17171		973
PF17172		974
PF17177		975
PF17766		976
PF17777		977
PF17780		978
PF17781		979
PF17801		980
PF17815		981
PF17846		982
PF17855		983
PF17862		984
PF17863		985
PF17874		986
PF17903		987
PF17942		988
PF17958		989
PF18036		990
PF18137		991
PF18265		992
PF18266		993
PF18511		994
PF18826		995
